epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,760.828,0.71999,0.65022,1.19083,0.90837,0.70321,0.78516,0.66982,0.56134,0.39242,1.05121,0.002971,0.002971,0.002971
73,822.225,0.71813,0.65481,1.18867,0.90645,0.70266,0.78453,0.67031,0.55807,0.39087,1.04893,0.002872,0.002872,0.002872
74,883.413,0.7197,0.65326,1.19131,0.90862,0.70088,0.78395,0.6715,0.55557,0.38954,1.04743,0.002773,0.002773,0.002773
75,945.828,0.71191,0.6471,1.18696,0.9018,0.70629,0.7853,0.67241,0.55733,0.39097,1.04847,0.002674,0.002674,0.002674
76,1008.32,0.71001,0.63914,1.1833,0.90195,0.70655,0.78481,0.672,0.55809,0.3917,1.04883,0.002575,0.002575,0.002575
77,1069.48,0.71272,0.6404,1.18605,0.90637,0.70293,0.78411,0.67178,0.55601,0.3907,1.04815,0.002476,0.002476,0.002476
78,1130.91,0.70952,0.63757,1.18379,0.90801,0.70207,0.78454,0.67246,0.55545,0.38993,1.04683,0.002377,0.002377,0.002377
79,1192.58,0.70962,0.63363,1.1821,0.90375,0.70365,0.78349,0.67263,0.5528,0.38863,1.04462,0.002278,0.002278,0.002278
80,1254.11,0.70601,0.62858,1.18014,0.90219,0.70246,0.78188,0.67246,0.55017,0.38584,1.04283,0.002179,0.002179,0.002179
81,1315.47,0.70268,0.62807,1.17827,0.91475,0.69392,0.78094,0.67253,0.54793,0.38394,1.04168,0.00208,0.00208,0.00208
82,1377.07,0.70738,0.63319,1.18062,0.91234,0.69538,0.78067,0.6726,0.54628,0.38091,1.03973,0.001981,0.001981,0.001981
83,1438.26,0.70155,0.62261,1.17947,0.90766,0.69703,0.78043,0.67276,0.54499,0.37918,1.03915,0.001882,0.001882,0.001882
84,1499.59,0.69207,0.61026,1.16836,0.90736,0.69826,0.78044,0.67305,0.54446,0.37821,1.03856,0.001783,0.001783,0.001783
85,1560.61,0.69543,0.60964,1.17154,0.91064,0.69542,0.77982,0.67263,0.54466,0.37817,1.03825,0.001684,0.001684,0.001684
86,1621.23,0.69002,0.60591,1.16938,0.91244,0.69404,0.78061,0.67315,0.54447,0.37815,1.03784,0.001585,0.001585,0.001585
87,1682.69,0.69138,0.60693,1.16544,0.91001,0.69602,0.78031,0.6732,0.54435,0.37781,1.03725,0.001486,0.001486,0.001486
88,1744.39,0.6913,0.60647,1.16848,0.91219,0.69513,0.78007,0.67343,0.54374,0.37695,1.03674,0.001387,0.001387,0.001387
89,1805.96,0.68609,0.59233,1.16157,0.90761,0.69748,0.78054,0.6738,0.54421,0.37647,1.03665,0.001288,0.001288,0.001288
90,1867.89,0.68828,0.60309,1.16597,0.90659,0.69992,0.78114,0.67438,0.54445,0.3761,1.03671,0.001189,0.001189,0.001189
91,1930.23,0.57058,0.36702,1.07116,0.90948,0.6975,0.78029,0.67371,0.54383,0.3751,1.03607,0.00109,0.00109,0.00109
92,1991.26,0.56359,0.35622,1.06376,0.90906,0.69871,0.78022,0.67382,0.54296,0.3741,1.03533,0.000991,0.000991,0.000991
93,2051.4,0.56078,0.35144,1.06165,0.90961,0.699,0.78037,0.6741,0.54232,0.37313,1.03459,0.000892,0.000892,0.000892
94,2111.95,0.5553,0.34704,1.05591,0.91178,0.69748,0.77979,0.67408,0.54156,0.37213,1.03383,0.000793,0.000793,0.000793
95,2172.13,0.55133,0.34471,1.05186,0.91231,0.69783,0.78009,0.67424,0.5408,0.37179,1.03318,0.000694,0.000694,0.000694
96,2232.4,0.55307,0.34315,1.05203,0.91351,0.69688,0.77991,0.67444,0.54014,0.37096,1.03254,0.000595,0.000595,0.000595
97,2293.72,0.55067,0.33901,1.05056,0.91582,0.69616,0.78013,0.67481,0.53934,0.37041,1.03177,0.000496,0.000496,0.000496
98,2354.51,0.54268,0.33342,1.0444,0.91597,0.69612,0.78005,0.67489,0.53872,0.36997,1.03088,0.000397,0.000397,0.000397
99,2415.57,0.54246,0.33368,1.04423,0.91696,0.69549,0.77967,0.67468,0.53809,0.36954,1.0305,0.000298,0.000298,0.000298
100,2476.03,0.53683,0.3298,1.03938,0.91521,0.69625,0.77963,0.67494,0.53744,0.3692,1.02982,0.000199,0.000199,0.000199
