epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,7418.15,0.92103,0.77931,1.42219,0.83452,0.83202,0.87668,0.69115,0.81465,0.92867,1.30478,0.000308412,0.000308412,0.000308412
65,7534.5,0.91704,0.77082,1.41584,0.83719,0.82981,0.87693,0.69151,0.81333,0.92793,1.30359,0.000294239,0.000294239,0.000294239
66,7648.8,0.9155,0.76922,1.41798,0.83801,0.83028,0.87707,0.69227,0.81263,0.92659,1.30286,0.000280275,0.000280275,0.000280275
67,7764.6,0.91744,0.77065,1.41563,0.83517,0.83365,0.87725,0.69259,0.81143,0.92625,1.3022,0.000266532,0.000266532,0.000266532
68,7882.3,0.90898,0.75526,1.40942,0.83507,0.8335,0.87739,0.69311,0.81049,0.92532,1.30163,0.000253024,0.000253024,0.000253024
69,7998.6,0.90644,0.75627,1.41166,0.83624,0.8331,0.87759,0.69329,0.80934,0.92376,1.30087,0.000239766,0.000239766,0.000239766
70,8113.45,0.90536,0.75456,1.41116,0.83605,0.83304,0.87761,0.69364,0.80797,0.92322,1.30004,0.000226769,0.000226769,0.000226769
71,8229.29,0.90435,0.74883,1.40959,0.83543,0.83319,0.8776,0.69385,0.8069,0.92296,1.29932,0.000214046,0.000214046,0.000214046
72,8343.84,0.90221,0.75556,1.40266,0.83565,0.83374,0.87779,0.6943,0.80605,0.92259,1.29875,0.000201611,0.000201611,0.000201611
73,8458.77,0.90029,0.74276,1.40524,0.8358,0.83389,0.87789,0.69494,0.8055,0.92249,1.29845,0.000189475,0.000189475,0.000189475
74,8574.21,0.8963,0.73436,1.40063,0.83661,0.83235,0.87787,0.69506,0.80473,0.92169,1.29776,0.000177651,0.000177651,0.000177651
75,8690.5,0.89504,0.74168,1.39997,0.83737,0.83162,0.87786,0.69549,0.80356,0.92041,1.29693,0.000166149,0.000166149,0.000166149
76,8806.34,0.89652,0.73306,1.39952,0.83781,0.83157,0.87782,0.69569,0.80251,0.91965,1.29631,0.000154982,0.000154982,0.000154982
77,8920.81,0.89159,0.73462,1.3988,0.83947,0.83041,0.87784,0.69595,0.80195,0.91951,1.29615,0.000144161,0.000144161,0.000144161
78,9034.18,0.89201,0.73311,1.40019,0.83923,0.83019,0.87784,0.69636,0.80137,0.91932,1.29577,0.000133695,0.000133695,0.000133695
79,9147.93,0.88576,0.72404,1.39404,0.83859,0.83144,0.87795,0.6968,0.80069,0.91738,1.29528,0.000123596,0.000123596,0.000123596
80,9263.94,0.87887,0.71916,1.39217,0.84001,0.8306,0.87811,0.69718,0.80036,0.91643,1.29514,0.000113873,0.000113873,0.000113873
81,9381.41,0.88709,0.72615,1.39555,0.83985,0.83039,0.87807,0.69754,0.79977,0.91694,1.29485,0.000104537,0.000104537,0.000104537
82,9496.28,0.88828,0.72116,1.39267,0.84024,0.83,0.87816,0.6977,0.79911,0.91662,1.2945,9.55951e-05,9.55951e-05,9.55951e-05
83,9611.93,0.88248,0.71556,1.38717,0.84026,0.83005,0.87832,0.69798,0.79836,0.91648,1.29395,8.70577e-05,8.70577e-05,8.70577e-05
84,9727.85,0.8789,0.71318,1.38813,0.83951,0.83066,0.87828,0.69812,0.79767,0.91634,1.29345,7.89327e-05,7.89327e-05,7.89327e-05
85,9841.7,0.88292,0.71849,1.3893,0.83979,0.83071,0.87834,0.6982,0.79706,0.91561,1.29302,7.12282e-05,7.12282e-05,7.12282e-05
86,9955.86,0.87666,0.71431,1.38941,0.84072,0.82951,0.87839,0.69864,0.79628,0.91477,1.29259,6.39518e-05,6.39518e-05,6.39518e-05
87,10070,0.87861,0.71414,1.3875,0.84082,0.83045,0.87845,0.69884,0.7956,0.91323,1.2923,5.71106e-05,5.71106e-05,5.71106e-05
88,10185.6,0.87308,0.70897,1.38411,0.84046,0.83114,0.87855,0.69894,0.79515,0.9131,1.29193,5.07115e-05,5.07115e-05,5.07115e-05
89,10300.2,0.86835,0.70527,1.3847,0.83997,0.83158,0.87833,0.69917,0.7948,0.91266,1.29173,4.47606e-05,4.47606e-05,4.47606e-05
90,10415.5,0.87319,0.7027,1.38348,0.84013,0.83155,0.87836,0.69925,0.79424,0.91227,1.29133,3.9264e-05,3.9264e-05,3.9264e-05
91,10531.2,0.72076,0.42872,1.2407,0.83843,0.83333,0.87841,0.69964,0.79359,0.90936,1.29081,3.4227e-05,3.4227e-05,3.4227e-05
92,10645.7,0.71285,0.41556,1.2352,0.83955,0.83191,0.87839,0.69978,0.79317,0.9077,1.29054,2.96546e-05,2.96546e-05,2.96546e-05
93,10760.4,0.71098,0.41088,1.23376,0.84092,0.8311,0.87846,0.69981,0.7927,0.90595,1.29024,2.55513e-05,2.55513e-05,2.55513e-05
94,10875.8,0.70923,0.40838,1.23389,0.84097,0.8317,0.87843,0.69996,0.79224,0.90394,1.28992,2.19212e-05,2.19212e-05,2.19212e-05
95,150.572,0.88547,0.72293,1.39729,0.84105,0.83197,0.87846,0.7,0.79215,0.90387,1.2899,1.87678e-05,1.87678e-05,1.87678e-05
96,264.898,0.88949,0.7232,1.39941,0.84044,0.83208,0.87844,0.69999,0.79209,0.9041,1.28988,1.60943e-05,1.60943e-05,1.60943e-05
97,379.614,0.88844,0.72529,1.39649,0.84028,0.83198,0.87838,0.70013,0.79196,0.90384,1.28979,1.39032e-05,1.39032e-05,1.39032e-05
98,493.91,0.88688,0.72166,1.39482,0.8401,0.83205,0.87843,0.70016,0.79177,0.9037,1.28973,1.21968e-05,1.21968e-05,1.21968e-05
99,609.277,0.88608,0.71815,1.39404,0.84025,0.83178,0.87837,0.70008,0.79173,0.90381,1.28972,1.09768e-05,1.09768e-05,1.09768e-05
100,723.273,0.8857,0.7229,1.39545,0.83989,0.83243,0.87831,0.70019,0.79153,0.90388,1.28964,1.02443e-05,1.02443e-05,1.02443e-05
